provider,gpu_model,gpu_count,usd_per_hour,region,source_url
Vultr,H100,1,2.99,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Hyperbolic,H100,1,3.19,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Thunder Compute,H100,1,3.2,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Lambda,H100,1,3.29,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Runpod,H100,1,3.49,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Nebius,H100,1,3.85,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Crusoe Cloud,H100,1,3.9,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Modal,H100,1,3.95,,https://www.thundercompute.com/blog/nvidia-h100-pricing
DigitalOcean,H100,1,4.41,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Vast.ai,H100,1,4.96,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Paperspace,H100,1,5.95,,https://www.thundercompute.com/blog/nvidia-h100-pricing
CoreWeave,H100,8,6.16,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Azure,H100,1,6.98,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Oracle Cloud,H100,1,10.0,,https://www.thundercompute.com/blog/nvidia-h100-pricing
Thunder Compute,A100,1,1.09,,https://www.thundercompute.com/blog/nvidia-h100-pricing

# re-published to exercise the update path
